"Year","Population_mean","Population_sd","GNIpc_mean","GNIpc_sd","GDP_mean","GDP_sd","Exports_mean","Exports_sd","Industry_mean","Industry_sd","Agriculture_mean","Agriculture_sd","Manufacturing_mean","Manufacturing_sd","Imports_mean","Imports_sd","Area_mean","Area_sd","Population_D_mean","Population_D_sd","Services_mean","Services_sd","Stable_lights_mean","Stable_lights_sd","Nightltspc_mean","Nightltspc_sd","log_nl_mean","log_nl_sd","idx_mean","idx_sd"
2003,3085173,NA,180,NA,7.48e+08,NA,NA,NA,NA,NA,-29.82442482,NA,NA,NA,NA,NA,96320,NA,NA,NA,-33.23321042,NA,0.0198636781424284,NA,6.43843251008238e-09,NA,-18.860980725512,NA,1.7159378272424,NA
2004,3122447,NA,210,NA,8.97e+08,NA,NA,NA,NA,NA,-14.90735045,NA,NA,NA,NA,NA,96320,NA,NA,NA,46.47392633,NA,0.0439074,NA,1.40618559738564e-08,NA,-18.0797999554452,NA,3.79297167501588,NA
2005,3266318,NA,250,NA,9.49e+08,NA,NA,NA,NA,NA,3.079134075,NA,NA,NA,NA,NA,96320,NA,34.08472824,NA,9.020174854,NA,0.056426302,NA,1.72752016184585e-08,NA,-17.8739937962489,NA,4.87442584192851,NA
2006,3455397,NA,280,NA,1.119e+09,NA,NA,NA,NA,NA,4.235334011,NA,NA,NA,NA,NA,96320,NA,NA,NA,13.4300327,NA,0.0596865341067314,NA,1.72734230268567e-08,NA,-17.8740967578933,NA,5.15606328880101,NA
2007,3632740,NA,310,NA,1.373e+09,NA,NA,NA,NA,NA,7.278494982,NA,NA,NA,NA,NA,96320,NA,NA,NA,12.24458562,NA,0.070718989,NA,1.94671209610377e-08,NA,-17.754538899013,NA,6.10910967542509,NA
2008,3783887,NA,370,NA,1.726e+09,NA,NA,NA,NA,NA,10.54860232,NA,NA,NA,NA,NA,96320,NA,NA,NA,-0.435367939,NA,0.066535003,NA,1.75837711327003e-08,NA,-17.8562894550261,NA,5.74767309783992,NA
2009,3905066,NA,410,NA,1.768e+09,NA,NA,NA,NA,NA,91.60618693,NA,NA,NA,NA,NA,96320,NA,NA,NA,97.46582855,NA,0.07860098,NA,2.0127951742685e-08,NA,-17.7211563539529,NA,6.7900010196115,NA
2010,4019956,NA,440,NA,1.998e+09,NA,NA,NA,NA,NA,3.624380032,NA,NA,NA,NA,NA,96320,NA,41.2453346252441,NA,11.97771293,NA,0.087656714,NA,2.1805391402294e-08,NA,-17.6411085856961,NA,7.57228697957447,NA
2011,4181150,NA,500,NA,2.398e+09,NA,NA,NA,NA,NA,3.974568891,NA,NA,NA,NA,NA,96320,NA,NA,NA,12.6865727,NA,0.103425234556198,NA,2.47360737013018e-08,NA,-17.5150031850301,NA,8.93446173432117,NA
2012,4331740,NA,540,NA,2791614000,NA,NA,NA,NA,NA,1.834857985,NA,NA,NA,NA,NA,96320,NA,NA,NA,9.492271177,NA,0.116284482181072,NA,2.68447511118101e-08,NA,-17.4331955244201,NA,10.0453168977597,NA
2013,4427313,NA,620,NA,3177198100,NA,NA,NA,NA,NA,3.236247648,NA,NA,NA,NA,NA,96320,NA,NA,NA,9.217836419,NA,0.117228619754314,NA,2.64785028197271e-08,NA,-17.4469326475166,NA,10.1268768870241,NA
